gene,direction,celltype,delta_pn_frac
MYT1L,down,Ex.L5.VAT1L_THSD4,0.0011278195488721812
MYT1L,down,Ex.L5.VAT1L_EYA4,-0.0011278195488721807
MYT1L,down,Ex.L3_L5.SCN4B_NEFH,-0.00037593984962406153
MYT1L,up,Ex.L5.VAT1L_THSD4,-0.0007518796992481187
MYT1L,up,Ex.L5.VAT1L_EYA4,0.0003759398496240606
MYT1L,up,Ex.L3_L5.SCN4B_NEFH,0.004135338345864659
REST,down,Ex.L5.VAT1L_THSD4,-0.00037593984962406017
REST,down,Ex.L5.VAT1L_EYA4,0.0
REST,down,Ex.L3_L5.SCN4B_NEFH,-0.00037593984962406006
REST,up,Ex.L5.VAT1L_THSD4,-0.002255639097744362
REST,up,Ex.L5.VAT1L_EYA4,-0.003383458646616541
REST,up,Ex.L3_L5.SCN4B_NEFH,0.0003759398496240586
SREBF2,down,Ex.L5.VAT1L_THSD4,-0.00037593984962405936
SREBF2,down,Ex.L5.VAT1L_EYA4,0.0003759398496240584
SREBF2,down,Ex.L3_L5.SCN4B_NEFH,-0.0007518796992481197
SREBF2,up,Ex.L5.VAT1L_THSD4,1.460819769243627e-18
SREBF2,up,Ex.L5.VAT1L_EYA4,0.003759398496240601
SREBF2,up,Ex.L3_L5.SCN4B_NEFH,0.0056390977443608985
LYNX1,down,Ex.L5.VAT1L_THSD4,0.0018796992481203006
LYNX1,down,Ex.L5.VAT1L_EYA4,-0.0003759398496240603
LYNX1,down,Ex.L3_L5.SCN4B_NEFH,0.00037593984962405963
LYNX1,up,Ex.L5.VAT1L_THSD4,-0.0007518796992481206
LYNX1,up,Ex.L5.VAT1L_EYA4,0.0011278195488721803
LYNX1,up,Ex.L3_L5.SCN4B_NEFH,0.0007518796992481163
TBR1,down,Ex.L5.VAT1L_THSD4,-0.0011278195488721803
TBR1,down,Ex.L5.VAT1L_EYA4,0.0007518796992481196
TBR1,down,Ex.L3_L5.SCN4B_NEFH,0.00075187969924812
TBR1,up,Ex.L5.VAT1L_THSD4,-0.0030075187969924823
TBR1,up,Ex.L5.VAT1L_EYA4,-0.000751879699248121
TBR1,up,Ex.L3_L5.SCN4B_NEFH,-0.0003759398496240612
KIF5A,down,Ex.L5.VAT1L_THSD4,0.001127819548872181
KIF5A,down,Ex.L5.VAT1L_EYA4,-2.0868853846337528e-19
KIF5A,down,Ex.L3_L5.SCN4B_NEFH,-0.0007518796992481216
KIF5A,up,Ex.L5.VAT1L_THSD4,-0.0015037593984962398
KIF5A,up,Ex.L5.VAT1L_EYA4,-0.00037593984962406196
KIF5A,up,Ex.L3_L5.SCN4B_NEFH,-0.0003759398496240622
DCTN1,down,Ex.L5.VAT1L_THSD4,0.0003759398496240604
DCTN1,down,Ex.L5.VAT1L_EYA4,6.260656153901258e-19
DCTN1,down,Ex.L3_L5.SCN4B_NEFH,0.0018796992481203004
DCTN1,up,Ex.L5.VAT1L_THSD4,0.0022556390977443606
DCTN1,up,Ex.L5.VAT1L_EYA4,0.002255639097744361
DCTN1,up,Ex.L3_L5.SCN4B_NEFH,0.0026315789473684184
DYNC1H1,down,Ex.L5.VAT1L_THSD4,0.0011278195488721803
DYNC1H1,down,Ex.L5.VAT1L_EYA4,-0.0003759398496240605
DYNC1H1,down,Ex.L3_L5.SCN4B_NEFH,-0.0030075187969924823
DYNC1H1,up,Ex.L5.VAT1L_THSD4,-0.0011278195488721781
DYNC1H1,up,Ex.L5.VAT1L_EYA4,0.00263157894736842
DYNC1H1,up,Ex.L3_L5.SCN4B_NEFH,0.0045112781954887195
TUBA4A,down,Ex.L5.VAT1L_THSD4,-0.0015037593984962407
TUBA4A,down,Ex.L5.VAT1L_EYA4,0.001879699248120301
TUBA4A,down,Ex.L3_L5.SCN4B_NEFH,0.00037593984962405996
TUBA4A,up,Ex.L5.VAT1L_THSD4,-0.004135338345864664
TUBA4A,up,Ex.L5.VAT1L_EYA4,-0.010902255639097745
TUBA4A,up,Ex.L3_L5.SCN4B_NEFH,-0.0007518796992481209
NEFH,down,Ex.L5.VAT1L_THSD4,0.0007518796992481198
NEFH,down,Ex.L5.VAT1L_EYA4,0.0037593984962406013
NEFH,down,Ex.L3_L5.SCN4B_NEFH,-0.0037593984962406013
NEFH,up,Ex.L5.VAT1L_THSD4,-0.006766917293233082
NEFH,up,Ex.L5.VAT1L_EYA4,-0.0030075187969924823
NEFH,up,Ex.L3_L5.SCN4B_NEFH,-0.0003759398496240613
TTC14,down,Ex.L5.VAT1L_THSD4,1.6695083077070022e-18
TTC14,down,Ex.L5.VAT1L_EYA4,-0.00037593984962406153
TTC14,down,Ex.L3_L5.SCN4B_NEFH,0.00037593984962405914
TTC14,up,Ex.L5.VAT1L_THSD4,-0.0007518796992481182
TTC14,up,Ex.L5.VAT1L_EYA4,-0.0007518796992481226
TTC14,up,Ex.L3_L5.SCN4B_NEFH,-9.390984230851888e-19
HSP90AA1,down,Ex.L5.VAT1L_THSD4,0.0015037593984962416
HSP90AA1,down,Ex.L5.VAT1L_EYA4,0.0022556390977443606
HSP90AA1,down,Ex.L3_L5.SCN4B_NEFH,-0.0018796992481203006
HSP90AA1,up,Ex.L5.VAT1L_THSD4,-0.001879699248120301
HSP90AA1,up,Ex.L5.VAT1L_EYA4,-0.0007518796992481209
HSP90AA1,up,Ex.L3_L5.SCN4B_NEFH,0.0011278195488721784
