celltype,gene,direction,label,axis_proj
Ex.L5.VAT1L_THSD4,MYT1L,down,MYT1L down,-0.001520987
Ex.L5.VAT1L_THSD4,MYT1L,up,MYT1L up,0.009293663
Ex.L5.VAT1L_THSD4,REST,down,REST down,-0.0012172721
Ex.L5.VAT1L_THSD4,REST,up,REST up,0.0035489493
Ex.L5.VAT1L_THSD4,SREBF2,down,SREBF2 down,0.0009707217
Ex.L5.VAT1L_THSD4,SREBF2,up,SREBF2 up,0.013425481
Ex.L5.VAT1L_THSD4,LYNX1,down,LYNX1 down,-0.0011100464
Ex.L5.VAT1L_THSD4,LYNX1,up,LYNX1 up,0.01933121
Ex.L5.VAT1L_THSD4,TBR1,down,TBR1 down,-0.0011890081
Ex.L5.VAT1L_THSD4,TBR1,up,TBR1 up,0.010292986
Ex.L5.VAT1L_THSD4,KIF5A,down,KIF5A down,6.746486e-05
Ex.L5.VAT1L_THSD4,KIF5A,up,KIF5A up,0.008837825
Ex.L5.VAT1L_THSD4,DCTN1,down,DCTN1 down,-0.0019649281
Ex.L5.VAT1L_THSD4,DCTN1,up,DCTN1 up,0.03121991
Ex.L5.VAT1L_THSD4,DYNC1H1,down,DYNC1H1 down,0.0003874712
Ex.L5.VAT1L_THSD4,DYNC1H1,up,DYNC1H1 up,0.009718637
Ex.L5.VAT1L_THSD4,TUBA4A,down,TUBA4A down,0.0001497383
Ex.L5.VAT1L_THSD4,TUBA4A,up,TUBA4A up,0.0026375363
Ex.L5.VAT1L_THSD4,NEFH,down,NEFH down,-0.0009810984
Ex.L5.VAT1L_THSD4,NEFH,up,NEFH up,0.02473988
Ex.L5.VAT1L_THSD4,TTC14,down,TTC14 down,0.0033032307
Ex.L5.VAT1L_THSD4,TTC14,up,TTC14 up,-0.0016049464
Ex.L5.VAT1L_THSD4,HSP90AA1,down,HSP90AA1 down,-0.0034185117
Ex.L5.VAT1L_THSD4,HSP90AA1,up,HSP90AA1 up,0.0055011385
Ex.L5.VAT1L_EYA4,MYT1L,down,MYT1L down,-0.00095389324
Ex.L5.VAT1L_EYA4,MYT1L,up,MYT1L up,0.0025045373
Ex.L5.VAT1L_EYA4,REST,down,REST down,-0.00046848215
Ex.L5.VAT1L_EYA4,REST,up,REST up,0.003581252
Ex.L5.VAT1L_EYA4,SREBF2,down,SREBF2 down,-0.002041668
Ex.L5.VAT1L_EYA4,SREBF2,up,SREBF2 up,0.015264414
Ex.L5.VAT1L_EYA4,LYNX1,down,LYNX1 down,0.0018150255
Ex.L5.VAT1L_EYA4,LYNX1,up,LYNX1 up,0.0063627386
Ex.L5.VAT1L_EYA4,TBR1,down,TBR1 down,0.00034710698
Ex.L5.VAT1L_EYA4,TBR1,up,TBR1 up,0.00033404937
Ex.L5.VAT1L_EYA4,KIF5A,down,KIF5A down,0.00013666457
Ex.L5.VAT1L_EYA4,KIF5A,up,KIF5A up,-0.0055132895
Ex.L5.VAT1L_EYA4,DCTN1,down,DCTN1 down,-0.00027340834
Ex.L5.VAT1L_EYA4,DCTN1,up,DCTN1 up,0.01711343
