key,gene,direction,celltype,silhouette
baseline,baseline,,Ex.L5.VAT1L_THSD4,0.06704861670732498
baseline,baseline,,Ex.L5.VAT1L_EYA4,0.07724279910326004
baseline,baseline,,Ex.L3_L5.SCN4B_NEFH,0.059646155685186386
MYT1L_down,MYT1L,down,Ex.L5.VAT1L_THSD4,0.06713105738162994
MYT1L_down,MYT1L,down,Ex.L5.VAT1L_EYA4,0.07718473672866821
MYT1L_down,MYT1L,down,Ex.L3_L5.SCN4B_NEFH,0.05985591188073158
MYT1L_up,MYT1L,up,Ex.L5.VAT1L_THSD4,0.06599636375904083
MYT1L_up,MYT1L,up,Ex.L5.VAT1L_EYA4,0.07791883498430252
MYT1L_up,MYT1L,up,Ex.L3_L5.SCN4B_NEFH,0.05951746925711632
REST_down,REST,down,Ex.L5.VAT1L_THSD4,0.06712540984153748
REST_down,REST,down,Ex.L5.VAT1L_EYA4,0.07726504653692245
REST_down,REST,down,Ex.L3_L5.SCN4B_NEFH,0.059632815420627594
REST_up,REST,up,Ex.L5.VAT1L_THSD4,0.06678172945976257
REST_up,REST,up,Ex.L5.VAT1L_EYA4,0.07685000449419022
REST_up,REST,up,Ex.L3_L5.SCN4B_NEFH,0.05952506139874458
SREBF2_down,SREBF2,down,Ex.L5.VAT1L_THSD4,0.06669335067272186
SREBF2_down,SREBF2,down,Ex.L5.VAT1L_EYA4,0.07707323133945465
SREBF2_down,SREBF2,down,Ex.L3_L5.SCN4B_NEFH,0.05946047976613045
SREBF2_up,SREBF2,up,Ex.L5.VAT1L_THSD4,0.06684240698814392
SREBF2_up,SREBF2,up,Ex.L5.VAT1L_EYA4,0.0770423635840416
SREBF2_up,SREBF2,up,Ex.L3_L5.SCN4B_NEFH,0.05948108807206154
LYNX1_down,LYNX1,down,Ex.L5.VAT1L_THSD4,0.06677030026912689
LYNX1_down,LYNX1,down,Ex.L5.VAT1L_EYA4,0.07688035815954208
LYNX1_down,LYNX1,down,Ex.L3_L5.SCN4B_NEFH,0.0596904456615448
LYNX1_up,LYNX1,up,Ex.L5.VAT1L_THSD4,0.06639247387647629
LYNX1_up,LYNX1,up,Ex.L5.VAT1L_EYA4,0.07809928059577942
LYNX1_up,LYNX1,up,Ex.L3_L5.SCN4B_NEFH,0.059901028871536255
TBR1_down,TBR1,down,Ex.L5.VAT1L_THSD4,0.06717155873775482
TBR1_down,TBR1,down,Ex.L5.VAT1L_EYA4,0.0773867592215538
TBR1_down,TBR1,down,Ex.L3_L5.SCN4B_NEFH,0.05976700782775879
TBR1_up,TBR1,up,Ex.L5.VAT1L_THSD4,0.0666816309094429
TBR1_up,TBR1,up,Ex.L5.VAT1L_EYA4,0.07693571597337723
TBR1_up,TBR1,up,Ex.L3_L5.SCN4B_NEFH,0.059479791671037674
KIF5A_down,KIF5A,down,Ex.L5.VAT1L_THSD4,0.06697937101125717
KIF5A_down,KIF5A,down,Ex.L5.VAT1L_EYA4,0.07739581912755966
